device,dev_type,parameter,published,fd_alone,surrogate_raw,surrogate_paired_fd,surrogate_fd,fd_alone_percent_of_published,surrogate_raw_percent_of_published,surrogate_paired_fd_percent_of_published,surrogate_fd_percent_of_published,surrogate_paired_polish_delta_percent_of_published,surrogate_production_delta_percent_of_published
nmos_L0p15_W1p6,nmos,vth0,0.411929,0.411929,0.4256584302152718,0.42569765073089927,0.42588189708658136,0.0,3.332960343960194,3.342481527374688,3.387209224546311,0.009521183414494155,0.05424888058611691
nmos_L0p15_W1p6,nmos,u0,0.0740069,0.0740069,0.07903454425930806,0.07903311844169152,0.07878462768771495,0.0,6.793480417782747,6.7915538168623675,6.455786808682636,-0.0019266009203780415,-0.33769360910010954
nmos_L0p15_W1p6,nmos,nfactor,11.311,11.311,10.761754728010345,10.762000814863166,10.639017388044572,0.0,-4.855850693923214,-4.853675052045213,-5.9409655375778305,0.002175641878000899,-1.085114843654616
nmos_L0p15_W1p6,nmos,vsat,137848.0,137848.0,133749.73164194086,133760.56060391237,134977.474602541,0.0,-2.9730343262572836,-2.965178599680542,-2.082384508631962,0.007855726576741731,0.8906498176253216
nmos_L0p15_W1p6,nmos,delta,0.0533214,0.0533214,0.05004130496062912,0.05004096102189422,0.04927159980609044,0.0,-6.151554609164197,-6.15219963861748,-7.595074761558326,-0.0006450294532817644,-1.4435201523941288
nmos_L0p15_W1p6,nmos,rdsw,100.279,100.279,93.31639877107365,93.31553422552963,95.48166417778366,0.0,-6.943229618291314,-6.94409175846425,-4.783988494317195,-0.000862140172936332,2.1592411239741183
nmos_L0p15_W1p6,nmos,eta0,-0.191127,-0.191127,-0.1882582370191369,-0.18835802242984662,-0.1882895600202997,0.0,1.5009721184673448,1.4487631627940452,1.484583538537355,-0.052208955673299626,-0.01638857992998993
nmos_L0p19_W7,nmos,vth0,0.686314,0.686314,0.7103141108736645,0.7094847792245327,0.7093749691610122,0.0,3.4969577880772493,3.3761192725971934,3.3601192983112966,-0.12083851548005616,-0.136838489765953
nmos_L0p19_W7,nmos,u0,0.0812952,0.0812952,0.08897608676412716,0.08897626407732138,0.08899062265342217,0.0,9.448143019670487,9.448361129957718,9.466023397964666,0.00021811028723041167,0.017880378294178143
nmos_L0p19_W7,nmos,nfactor,8.97341,8.97341,8.403167359349432,8.403164583773687,8.531345451749836,0.0,-6.354804256693583,-6.3548351878083364,-4.926383038891165,-3.0931114752936726e-05,1.4284212178024174
nmos_L0p19_W7,nmos,vsat,230947.0,230947.0,236080.60736396545,236121.02031939646,235912.27423206318,0.0,2.2228508549431036,2.240349655720341,2.1499626460024075,0.017498800777237065,-0.07288820894069596
nmos_L0p19_W7,nmos,delta,0.0847307,0.0847307,0.07643671115228708,0.07643669062304491,0.07642025040800582,0.0,-9.788646674361157,-9.788670903173344,-9.808073805591345,-2.4228812186531085e-05,-0.019427131230188754
nmos_L0p19_W7,nmos,rdsw,143.324,143.324,131.13507636189163,131.13418417160938,130.5905453311654,0.0,-8.504453991033166,-8.505076489904436,-8.884384100942347,-0.0006224988712691824,-0.37993010990918
nmos_L0p19_W7,nmos,eta0,-0.244557,-0.244557,-0.24027473370514285,-0.24027473369676824,-0.2405208755047268,0.0,1.751029941836523,1.7510299452609217,1.6503819131217612,3.4243986325383714e-09,-0.10064802871476175
